country_code,country_name,year,gcf_const_2015_usd,gcf_curr_usd,gcf_pct_gdp,gdp_const_2015_usd,gdp_curr_usd,gdp_growth_annual_pct,gdp_pc_const_2015_usd,gdp_pc_curr_usd,gdp_pc_growth_annual_pct,gfcf_const_2015_usd,gfcf_curr_usd,gfcf_pct_gdp,population_total,delta_gdp_const_2015_usd,icor_gfcf_annual,icor_gcf_annual,icor_marginal_annual,gdp_growth_5yr_ma,gdp_pc_growth_5yr_ma,gfcf_pct_5yr_ma,icor_gfcf_5yr_smoothed
CHN,China,1967,,17391384871.8564,23.8201111605653,175758119940.626,73011350596.2485,-5.77000000405148,232.931044915017,96.7614480104016,-8.16149758528853,,13248090245.8314,18.1452474685657,754550000.0,,-3.144756924752995,-4.128268829088337,,,,,
CHN,China,1968,,17665789279.347,24.888290626073,168552037046.827,70980323818.7853,-4.09999998647768,217.624094003727,91.6454581848979,-6.57145161430678,,12303878586.8441,17.3342102781275,774510000.0,-7206082893.799011,-4.227856179340956,-6.070314806867741,,,,,
CHN,China,1969,,19933364229.3127,24.9642038256092,197104752115.92,79847786729.1898,16.9399999960609,247.611258585999,100.308139479526,13.7793403435182,,16724341920.9208,20.9452792694714,796025000.0,28552715069.093018,1.2364391543295075,1.4736838153137064,,2.356666668510581,-0.3178696186923702,18.808245672054866,7.980868029988189
CHN,China,1970,,30438001510.2715,32.8162153192607,235145969267.792,92752930873.1912,19.2999999967022,287.353854283243,113.346243039894,16.0503992929066,,22354514935.9678,24.1011413068232,818315000.0,38041217151.87198,1.2487637984943716,1.7003220375579284,,6.592500000558486,3.7741976092073726,20.131469580746952,3.053692768910354
CHN,China,1971,,33570752158.2706,33.5845171488947,251747274694.657,99959013879.6308,7.05999999853672,299.305407404138,118.84249157909,4.15917620130968,,24796716479.6294,24.8068838589077,841105000.0,16601305426.86502,3.5137229269191583,4.757013761452626,,6.686000000154133,3.851193327627834,21.0665524363791,3.1508454136843334
CHN,China,1972,,35525993382.8226,31.1982006102093,261338845861.077,113871930713.841,3.81000000021984,303.166764336598,132.097410431007,1.29010597100438,,27998375041.0901,24.5876001799335,862030000.0,9591571166.419983,6.453438367064245,8.188504096695311,,8.602000001008397,5.741514038886416,22.35502297865266,2.598816900259477
CHN,China,1973,,45658319637.5218,32.9034962037238,281618740302.101,138764340892.0,7.76000000084325,319.317346193733,157.339888078555,5.32729301395436,,33644743794.1587,24.245957987394,881940000.0,20279894441.024017,3.1244791217473304,4.240141262905709,,10.973999998472582,8.121262964538644,23.73737252050596,2.163055633662279
CHN,China,1974,,47879670018.0051,33.1534340901066,288124133211.379,144418433058.472,2.31000000294736,320.013476105269,160.402546852304,0.218005667350923,,38293247655.5333,26.5154847927406,900350000.0,6505392909.278015,11.478564830696596,14.352135951431032,,8.047999999849875,5.408996029305189,24.8514136251598,3.087899307358769
CHN,China,1975,,57258710409.539,34.9804771441711,313248557620.151,163687619735.857,8.71999999747992,341.827004315989,178.621249282085,6.81644050625665,,47472832936.2525,29.0020913083467,916395000.0,25124424408.771973,3.32592790329453,4.011522609435832,,5.932000000005418,3.5622042719751987,25.831603625464503,4.35461962667581
CHN,China,1976,,51138255627.9827,33.1642759720738,308330555260.336,154196810058.643,-1.57000000165326,331.294213681681,165.680987722637,-3.08132198489825,,44699652856.293,28.9887014130144,930685000.0,-4918002359.815002,-18.464141007954378,-21.123742635127876,,4.205999999967422,2.1141046347336125,26.667967136285842,6.340458187468474
CHN,China,1977,,59266474723.3725,33.8227621398292,331671178297.81,175226595859.778,7.57000000138403,351.549547458872,185.728620718294,6.11400167606095,,49200930266.231,28.0784603643177,943455000.0,23340623037.474,3.709175740975441,4.468000281855397,,4.9580000002002595,3.0788837757449263,27.36613917316268,5.519592410661018
CHN,China,1978,,56233026138.2114,37.5415882273122,369239420801.258,149788617886.179,11.3269542129809,386.167053595622,156.655616850835,9.84712009643518,,43875302560.9756,29.2914796732523,956165000.0,37568242503.448,2.5859978880892553,3.314358610568836,,5.6713908426277895,3.9828491922410905,28.375243510334336,5.003224834560497
CHN,China,1979,,64710334643.4783,36.2372832294507,397282422830.885,178573913043.478,7.59480175999998,409.99006489222,184.285853059043,6.16909471555913,,50545117252.1739,28.3048718543046,969005000.0,28043002029.627014,3.72687434758069,4.7713270700894235,,6.728351194038313,5.173067001882732,28.73312092264714,4.2704549887506245
CHN,China,1980,,66147553729.1667,34.544058348021,428434994544.795,191487500000.0,7.84141706847441,436.628325064633,195.149479992051,6.49729406965412,,54593387062.5,28.5101570924995,981235000.0,31152571713.909973,3.6358424559664835,4.405333633751193,,6.552634608237213,5.109237714562226,28.6347340794777,4.369957397514799
CHN,China,1981,,64535523825.3968,32.8896636883936,450348857948.493,196218253968.254,5.11486309071954,453.119684821175,197.425510967822,3.77697891086211,,53388698428.5714,27.2088337088195,993885000.0,21913863403.697998,5.319562464572607,6.430213889413568,,7.889607226711772,6.480897893714297,28.27876053863872,3.5843052418244064
CHN,China,1982,,65587896076.3359,31.9192153428932,490989885719.788,205480916030.534,9.02434347373044,486.788897534069,203.722788366928,7.43053410407046,,57916140351.145,28.1856541570696,1008630000.0,40641027771.295044,3.123291377274933,3.5370124636555516,,8.180475921181053,6.7442043793162,28.300199297189103,3.4594807893650366
CHN,China,1983,,73648734593.8697,31.8645996336511,543878522308.357,231130268199.234,10.7718383060041,531.489502016356,225.86534696156,9.18274938247932,,65001225015.3257,28.1231988876917,1023310000.0,52888636588.56897,2.6108077459736982,2.958139430656895,,8.069452739785692,6.611330236525028,28.06654314007698,3.4781222525410525
CHN,China,1984,,89365467310.7143,34.3128885510943,626505281173.79,260442857142.857,15.1921349118079,604.253640849507,251.192686463827,13.6906069747567,,76219038739.2857,29.2651676361692,1036825000.0,82626758865.43304,1.9263367397707354,2.2585955660797237,,9.588919370147277,8.115632688364542,28.2586022964499,2.947005935249185
CHN,China,1985,,120898734132.653,38.9914630864753,710635430095.605,310064625850.34,13.4284820016509,676.125961043923,295.007445815897,11.8943958853723,,94181047057.8231,30.3746507037155,1051040000.0,84130148921.81494,2.2619571370748557,2.903638928188732,,10.706332356782577,9.195053051508179,28.631501018693097,2.67425856629182
CHN,China,1986,,113467013495.652,37.6578802293366,774192860723.962,301310144927.536,8.9437463904392,725.721895334567,282.445603096707,7.33530986061663,,93113390307.2464,30.9028394412806,1066790000.0,63557430628.357056,3.455245496933535,4.210526393010495,,11.47210901672651,9.906719241459083,29.37030216518532,2.560148454165051
CHN,China,1987,,101875915735.426,37.2550720459819,864427096743.192,273455156950.673,11.6552658383921,797.416224331495,252.256760114454,9.87903623382846,,83416274479.8206,30.5045534375743,1084035000.0,90234236019.22998,2.6172336058687917,3.1964154711310653,,11.99829348965884,10.396419667410681,29.834082021286264,2.4865271087925827
CHN,China,1988,,122062518395.062,39.0114582938763,961423696945.326,312888888888.889,11.2209115803492,872.728317988186,284.023573149686,9.44451484164723,,96994617160.4938,30.9997000868056,1101630000.0,96996600202.13403,2.762672164808278,3.47667460121473,,12.088108144527862,10.448772759244264,30.409382261109045,2.515644457968801
CHN,China,1989,,129399924939.271,37.1432672399768,1001879030667.2,348380566801.619,4.20785693658392,895.614384005007,311.429461227032,2.62235859030879,,89049722510.1214,25.5610476002324,1118650000.0,40455333721.8739,6.074599965127074,8.827122166879313,,9.891252549483063,8.235123082354681,29.66855825392168,2.9994743441741583
CHN,China,1990,,123261300353.728,34.0914985430681,1041177931705.26,361560229445.507,3.9225195692421,917.187887177205,318.50335359039,2.40879373505875,,86565315650.0956,23.9421564099717,1135185000.0,39298901038.06006,6.103769780452045,8.691224592068812,,7.990060063001304,6.338002652291972,28.382059395172917,3.552170968851487
CHN,China,1991,,136646341463.415,35.5377442696039,1138794946993.44,384510452961.672,9.37563237902144,989.585278674846,334.130288119078,7.89340902881477,,100101045296.167,26.0333742620373,1150780000.0,97617015288.17993,2.776705955353859,3.7904370428518304,,8.076437260717752,6.4496224859316005,27.408166359324262,3.393596145745148
CHN,China,1992,,168436420722.135,39.3081668840399,1301615550876.41,428502354788.069,14.2976226152779,1117.29533882968,367.822651903542,12.9054122880499,,131189952904.239,30.615923445537,1164970000.0,162820603882.96997,2.141329665032701,2.7492799286810574,,8.604908616094912,7.054897696775887,27.430440360916798,3.187766609120052
CHN,China,1993,,194146834054.33,43.4763551900211,1482879870958.35,446557291212.148,13.9261028311995,1258.34142676619,378.939353053314,12.6238858280969,,166613890516.5,37.3107535797341,1178440000.0,181264320081.9402,2.67919561071634,3.1219326553167743,,9.145946866264971,7.690771894065823,28.6926510595025,3.1371985294749503
CHN,China,1994,,228350004171.142,40.2783746945492,1676880778212.51,566929539493.172,13.0827122987906,1406.97393365064,475.677874448369,11.8117788799513,,196693415733.594,34.6945082292652,1191835000.0,194000907254.1599,2.6519354272181355,3.078748028287119,,10.920917938706308,9.528655951994324,30.51934318530906,2.794576733988753
CHN,China,1995,475395820990.633,288574980748.776,39.092189056179,1861596132617.78,738190896227.55,11.0154136659719,1545.07897848105,612.680277898627,9.81575006667488,,240857329959.694,32.6280547742557,1204855000.0,184715354405.27002,2.962036266967274,3.5488625522017436,,12.339496758052267,11.010047218317549,32.256522858165866,2.6140873887029903
CHN,China,1996,538099409615.955,328101104439.105,37.7768637845413,2047258472826.1,868523936530.083,9.97328781228394,1681.45741269443,713.337387811657,8.82663191414676,,277142350263.255,31.9095811418268,1217550000.0,185662340208.32007,3.199504691173584,3.7878044327580853,,12.459027844704769,11.196691795383948,33.43176423412376,2.683336505129704
CHN,China,1997,566248014494.034,345888214420.174,35.7413524462449,2237604266165.63,967753570434.667,9.29759460595947,1819.07954081306,786.743548510999,8.18469305732251,,302425252571.92,31.2502337176691,1230075000.0,190345793339.5298,3.3611095172549974,3.8441504454642286,,11.459022242841083,10.25254794923847,33.55862628855018,2.9285767648732524
CHN,China,1998,615497250943.217,362851218716.172,34.9859486932226,2414901854973.07,1037134141760.35,7.92354535108497,1944.46718626424,835.095348597432,6.8929171395732,,342979152690.471,33.0698931681417,1241935000.0,177297588807.43994,4.173623258635535,4.415441212617276,,10.258510746818176,9.10635421153373,32.7104542062317,3.188616263464686
CHN,China,1999,654723889291.862,377885422643.675,34.2336141056633,2601845161729.03,1103843203575.64,7.74123827728161,2076.93180259914,881.146614068925,6.81238630667758,,360681303415.577,32.675048616256,1252735000.0,186943306755.95996,4.2209072303262145,4.422240070574945,,9.190215942516378,8.106475696878986,32.30656228362986,3.515321346712989
CHN,China,2000,702422855003.536,411581609430.883,33.6326827140045,2824916263542.96,1223754919971.05,8.57357328926101,2237.30047918692,969.199513696287,7.72142235903391,,399521459432.767,32.6471790154044,1262645000.0,223071101813.93018,3.807884753991342,3.9228314238745416,,8.7018478671742,7.687610155350792,32.3103871318596,3.713048955238967
CHN,China,2001,848567316440.794,481361274306.312,35.523858010134,3060063619716.51,1355036590251.52,8.32404695347056,2405.99411858042,1065.40597574519,7.54005288797013,,453393641323.232,33.4598817910203,1271850000.0,235147356173.5498,4.019665191469134,4.26761864856168,,8.371999695411523,7.4302943501154655,32.620447261698295,3.8963746355099276
CHN,China,2002,959269098833.012,537360529962.884,36.0687816828708,3342692586001.97,1489821682050.54,9.23604870383861,2610.66275070444,1163.55957673426,8.50661398311242,,521256785555.368,34.9878641071948,1280400000.0,282628966285.46045,3.7881853191888686,3.9052177873293576,,8.359690514987353,7.494678535273448,33.36797333960344,3.9915321362412803
CHN,China,2003,1187961563724.01,663929616359.091,39.4280130265115,3680766226629.83,1683903309843.85,10.1138119025242,2856.85053293219,1306.97245408557,9.43008751939767,,641309202798.054,38.0846809344133,1288400000.0,338073640627.85986,3.7656109587037254,3.8984325006747533,,8.797743825275198,8.002112611238342,34.37093089285776,3.906789237726255
CHN,China,2004,1416204775727.94,826107816292.792,41.6343741627493,4054011719388.36,1984196551300.44,10.1404291872206,3127.91444892337,1530.92726215723,9.48820783119425,,780791999227.721,39.3505370582361,1296075000.0,373245492758.5298,3.880559326603979,4.105780277546705,,9.277582007262996,8.537276916141675,35.70602858125378,3.8486351889211177
CHN,China,2005,1566526102252.92,931147769850.739,40.178086700104,4518338478814.27,2317551298052.05,11.4535130030645,3465.72767067642,1777.64496828464,10.7999508064974,,910110018931.413,39.2703289759488,1303720000.0,464326759425.90967,3.428671095535635,3.5079269294367545,,9.853569950023694,9.152982605634374,37.030658573362665,3.758095671028714
CHN,China,2006,1805728003092.64,1107937379082.9,39.6897003482818,5091050723394.27,2791498472804.33,12.6752842281595,3883.27464370816,2129.25696999613,12.0478875638328,,1075329111482.4,38.5215726233992,1311020000.0,572712244580.0,3.0391091773563077,3.1312670890729914,,10.723817404961483,10.054549540806908,38.04299673983844,3.547523731823097
CHN,China,2007,2120300566780.36,1449626501735.39,40.2220879226288,5811473655332.24,3604055822571.63,14.1507710506103,4409.69709445986,2734.72709877693,13.5561478146964,,1357683411650.45,37.6709873123357,1317885000.0,720422931937.9707,2.662115525550179,2.842395497656934,,11.70676187431582,11.064456307123704,38.57962138086662,3.2954989428382246
CHN,China,2008,2414499395419.8,1958452391146.2,41.9607249432501,6373372030110.07,4667346414521.95,9.66877608164454,4811.34486346262,3523.44302065213,9.10828477328671,,1811074229473.19,38.8030814219879,1324655000.0,561898374777.8301,4.013236121545177,4.339817634510065,,11.617754710139888,11.000095757901514,38.72330147838154,3.3331140521140576
CHN,China,2009,2919460955841.66,2331586892087.97,44.9282638913962,6972857785771.39,5189577094997.58,9.40610014336416,5237.78809982377,3898.24459158811,8.86328559816117,,2252783317543.54,43.4097668520056,1331260000.0,599485755661.3193,4.615065350184523,4.776502823339841,,11.4708889013686,10.875111311294896,39.53514743713544,3.4465635381071884
CHN,China,2010,3379942841685.89,2854917581561.38,46.1023443345586,7711401293675.62,6192564874453.29,10.5916903885704,5764.65012366375,4629.24551710077,10.0588648070302,,2695015515631.65,43.5201821905755,1337705000.0,738543507904.2305,4.10889863600418,4.352689952522414,,11.298524378469779,10.726894111401457,40.385118080060785,3.574371017601005
CHN,China,2011,3675217078792.42,3549745173730.83,46.2703012824496,8441058131256.55,7671757207851.29,9.46205248298186,6275.71634288814,5703.76027973346,8.86552016620182,,3338395140046.5,43.515390928039,1345035000.0,729656837580.9297,4.598937810406818,4.890091379821646,,10.655878029434252,10.09042063187526,41.38388174098874,3.883666988930983
CHN,China,2012,3956223800485.28,3974006124201.62,45.8169211701107,9104341297809.09,8673664713189.24,7.8578201481217,6723.09003744607,6405.0574241349,7.12864747408331,,3805458298857.17,43.8737076505916,1354190000.0,663283166552.54,5.583445131545672,5.830741898701078,,9.397287848936532,8.804920563752642,42.62442580863991,4.535822089717472
CHN,China,2013,4330548082913.43,4474277400763.55,45.9224093546636,9812516071429.73,9743124247267.24,7.77842954757257,7197.937319496,7147.03518622344,7.06293206554041,,4294334930447.57,44.0755431365052,1363240000.0,708174773620.6406,5.666380709234545,5.903815040530218,,9.019218542122138,8.395850022203382,43.678918151543385,4.842871690884446
CHN,China,2014,4655345596368.92,4836794860984.92,45.3115352657107,10544628617502.6,10674533168257.4,7.46100735778161,7686.37369520403,7781.06597484974,6.78578256558413,,4630649568303.33,43.3803473680085,1371860000.0,732112546072.8691,5.814274840885136,6.073112261235356,,8.630199985005628,7.980349415687973,43.67303425474396,5.060489250610972
