country_code,country_name,year,decade,va_agro_pct_gva,va_ind_pct_gva,va_serv_pct_gva,emp_agro_pct,emp_ind_pct,emp_serv_pct,va_agro_pct_gdp,va_ind_pct_gdp,va_serv_pct_gdp,va_total_gva_pct_gdp,net_taxes_pct_gdp
CHN,China,1960,1960s,23.124957578225775,44.29511979909045,32.57992262268377,,,,23.1249575782258,44.2951197990905,32.5799226226838,100.00000000000011,-1.1368683772161603e-13
CHN,China,1961,1960s,35.7194914567981,31.864928334278105,32.4155802089238,,,,35.7194914567981,31.8649283342781,32.4155802089238,100.0,0.0
CHN,China,1962,1960s,38.9060621672677,31.246780010304004,29.8471578224283,,,,38.9027217309178,31.2440971924101,29.8445951747231,99.991414098051,0.008585901949004437
CHN,China,1963,1960s,39.7713646174754,33.0002398273243,27.2283955552003,,,,39.7713646174754,33.0002398273243,27.2283955552003,100.0,0.0
CHN,China,1964,1960s,37.9574930399946,35.2617641067427,26.7807428532627,,,,37.9574930399946,35.2617641067427,26.7807428532627,100.0,0.0
CHN,China,1965,1960s,37.47985263642643,35.02763067004373,27.492516693529822,,,,37.4798526364264,35.0276306700437,27.4925166935298,99.99999999999991,8.526512829121202e-14
CHN,China,1966,1960s,37.1141649048626,37.8118393234672,25.073995771670205,,,,37.1141649048626,37.8118393234672,25.0739957716702,99.99999999999999,1.4210854715202004e-14
CHN,China,1967,1960s,39.73738385355812,33.82852055861573,26.43409558782614,,,,39.7351730277067,33.8266384778013,26.4326249026371,99.9944364081451,0.005563591854894412
CHN,China,1968,1960s,41.5646102781275,31.051848460569996,27.3835412613025,,,,41.5646102781275,31.05184846057,27.3835412613025,100.0,0.0
CHN,China,1969,1960s,37.45230706618509,35.356361601465096,27.1913313323498,,,,37.4523070661851,35.3563616014651,27.1913313323498,100.00000000000001,-1.4210854715202004e-14
CHN,China,1970,1970s,34.7420513269686,40.2075851799947,25.0503634930367,,,,34.7420513269686,40.2075851799947,25.0503634930367,100.0,0.0
CHN,China,1971,1970s,33.578511053316,41.8522431729519,24.5692457737321,,,,33.578511053316,41.8522431729519,24.5692457737321,100.0,0.0
CHN,China,1972,1970s,32.3645609231371,42.6990025425386,24.9364365343243,,,,32.3645609231371,42.6990025425386,24.9364365343243,100.0,0.0
CHN,China,1973,1970s,32.87328841556184,42.755198145330745,24.371513439107424,,,,32.8732884155618,42.7551981453307,24.3715134391074,99.9999999999999,9.947598300641403e-14
CHN,China,1974,1970s,33.37334933973587,42.36282748393476,24.263823176329375,,,,33.3733493397359,42.3628274839348,24.2638231763294,100.0000000000001,-9.947598300641403e-14
CHN,China,1975,1970s,31.901195637892503,45.28642753908812,22.812376823019363,,,,31.9022435371021,45.2879151200604,22.8131261702198,100.0032848273823,-0.003284827382302069
CHN,China,1976,1970s,32.304506129538716,44.96108494505127,22.73440892541002,,,,32.3055852485302,44.9625868519508,22.7351683591662,100.00334045964719,-0.0033404596471910963
CHN,China,1977,1970s,28.941790815542888,46.62263861158041,24.435570572876703,,,,28.9426798550101,46.6240707747128,24.4363211894084,100.00307181913129,-0.003071819131292841
CHN,China,1978,1970s,27.63977311563105,47.63146157244125,24.728765311927692,,,,27.6396049419236,47.6311717596613,24.7286148501954,99.9993915517803,0.0006084482196939689
CHN,China,1979,1970s,30.652803231665764,46.87693254871044,22.4702642196238,,,,30.6528466741332,46.8769989847098,22.470296065446,100.000141724289,-0.0001417242889942827
CHN,China,1980,1980s,29.58115953770864,47.97209399756081,22.446746464730555,,,,29.58158601954,47.9727856278695,22.4470700872555,100.001441734665,-0.0014417346649935325
CHN,China,1981,1980s,31.25939598740754,45.88787308854295,22.8527309240495,,,,31.2594240378587,45.8879142657795,22.8527514308249,100.0000897344631,-8.973446310278632e-05
CHN,China,1982,1980s,32.7238170835883,44.53638038561699,22.739802530794712,,,,32.7232822349357,44.5356524686084,22.7394308641058,99.9983655676499,0.0016344323501016333
CHN,China,1983,1980s,32.50576792021266,44.14394413376205,23.350287946025286,,,,32.5056266837961,44.1437523298798,23.3501864898467,99.9995655035226,0.0004344964773963511
CHN,China,1984,1980s,31.479369985586874,42.8488753140584,25.671754700354725,,,,31.4795879134441,42.8491719516209,25.6719324227963,100.0006922878613,-0.0006922878612982686
CHN,China,1985,1980s,27.882396335270364,42.63287236721151,29.48473129751813,,,,27.8824106473305,42.6328942507048,29.4847464320583,100.0000513300936,-5.1330093597812265e-05
CHN,China,1986,1980s,26.58975245419761,43.43480485873047,29.97544268707191,,,,26.5896908592427,43.4347042423426,29.9753732491919,99.9997683507772,0.00023164922279761413
CHN,China,1987,1980s,26.274497772996302,43.24197580839407,30.483526418609618,,,,26.2744881224326,43.241959925714,30.4835152220792,99.9999632702258,3.672977419455492e-05
CHN,China,1988,1980s,25.19439309977421,43.44987906457853,31.355727835647258,,,,25.1945125302504,43.4500850326178,31.355876473064,100.0004740359322,-0.00047403593219996765
CHN,China,1989,1980s,24.568270449362405,42.42128393707533,33.01044561356227,,,,24.5682804386984,42.4213011853574,33.0104590354445,100.0000406595003,-4.065950029996657e-05
CHN,China,1990,1990s,26.53265433669778,40.95319108324106,32.51415458006115,,,,26.5326691193891,40.9532139003469,32.5141726953505,100.00005571508652,-5.5715086517693635e-05
CHN,China,1991,1990s,23.962979486308118,41.36468442864414,34.672336085047746,59.6400851916364,21.4316045061761,18.9283179358188,23.962990054778,41.3647026718439,34.6723513766996,100.0000441033215,-4.4103321499733283e-05
CHN,China,1992,1990s,21.249888543559816,42.9556928894512,35.79441856698898,58.5001088483213,21.7000253818873,19.7998580513661,21.2498856848723,42.9556871107431,35.7944137516669,99.9999865472823,1.3452717695372485e-05
CHN,China,1993,1990s,19.228486642324665,45.98763943662416,34.783873921051175,56.400437403951,22.4000075921798,21.1995548502311,19.2285186084752,45.9877158881844,34.7839317470554,100.000166243715,-0.00016624371500029156
CHN,China,1994,1990s,19.38469547390923,45.95069790400746,34.6646066220833,54.2999028550458,22.6995787219993,23.0005184229549,19.384707585823,45.9507266148475,34.6646282811662,100.00006248183671,-6.248183670720664e-05
CHN,China,1995,1990s,19.498130992578943,46.51582104209698,33.98604796532407,52.2001077716619,23.00007619978,24.7998237633446,19.49813596726,46.5158329099716,33.9860566363987,100.0000255136303,-2.5513630305340484e-05
CHN,China,1996,1990s,19.219245839998187,46.845292844453965,33.93546131554784,50.5003585804529,23.4996377291564,25.9999961651242,19.2192456606094,46.8452924072089,33.9354609988007,99.99999906661901,9.333809884992661e-07
CHN,China,1997,1990s,17.781512418613072,46.79962671697216,35.41886086441477,49.9004535957066,23.6998548750409,26.3996895897554,17.7815242281084,46.7996577986912,35.4188843876597,100.0000664144593,-6.641445929744805e-05
CHN,China,1998,1990s,17.02545225334434,45.44110316246286,37.53344458419279,49.7996750368504,23.5004273116616,26.6998899630481,17.0254631760262,45.4411323152105,37.5334686637807,100.00006415501741,-6.4155017412304e-05
CHN,China,1999,1990s,15.921600003741327,44.95556249875576,39.12283749750291,50.099443386659,23.000533231137,26.9000176611232,15.921591740544,44.9555391671381,39.1228171930281,99.9999481007102,5.1899289800871884e-05
CHN,China,2000,2000s,14.52724861659895,45.07382117524035,40.39893020816071,50.0395612662259,24.6470198851309,25.3134188486432,14.5272519499825,45.0738315177586,40.398939477991,100.0000229457321,-2.2945732098378357e-05
CHN,China,2001,2000s,13.822109691561513,44.27655236535325,41.901337943085245,50.0000075818034,22.2999534859973,27.7000389321993,13.8221069560341,44.276543602601,41.9013296504106,99.9999802090457,1.9790954297604912e-05
CHN,China,2002,2000s,13.12949229419263,43.87579769386936,42.994710011938004,49.9999932729708,21.4001070576635,28.5998919404385,13.1294938258189,43.8758028122184,42.9947150275034,100.00001166554071,-1.166554071119208e-05
CHN,China,2003,2000s,12.175759655050781,44.98276052030084,42.841479824648374,49.0994891398691,21.6000317879629,29.3004810570726,12.1757600914927,44.9827621327146,42.8414813603076,100.0000035845149,-3.5845149000124366e-06
CHN,China,2004,2000s,12.72884288992335,45.23283249437651,42.03832461570015,46.9002521281439,22.4994633352348,30.6002920912406,12.7288429360401,45.2328326582556,42.0383247680055,100.00000036230121,-3.6230120770142094e-07
CHN,China,2005,2000s,11.482812347517457,46.381621674767885,42.13556597771467,44.8001963078147,23.8000197014041,31.3997915890731,11.4828123533826,46.3816216984585,42.1355659992365,100.00000005107759,-5.1077591933790245e-08
CHN,China,2006,2000s,10.475860731670807,46.88649554539375,42.63764372293545,42.6004881144556,25.1993927171682,32.2001132949176,10.4758623658001,46.8865028592172,42.6376503739806,100.00001559899789,-1.5598997890720057e-05
CHN,China,2007,2000s,10.093421321469917,46.18524476641946,43.72133391211062,40.8000442662963,26.799965080269,32.4000001442606,10.0934194559262,46.1852362301075,43.7213258311976,99.9999815172313,1.848276869509391e-05
CHN,China,2008,2000s,10.009977852840555,46.23642273044647,43.75359941671297,39.6000709393206,27.1998176284931,33.2001114321863,10.0099770734138,46.2364191302482,43.7535960098397,99.9999922135017,7.786498301243228e-06
CHN,China,2009,2000s,9.472995037873666,45.17885500913749,45.348149952988834,38.0998847578432,27.8001237336841,34.0999915084727,9.47299581661597,45.1788587231356,45.3481536809041,100.00000822065567,-8.220655672630528e-06
CHN,China,2010,2010s,9.166499816551006,45.70662447652515,45.126875706923855,36.7006103588109,28.6998228439976,34.5995667971914,9.16649906130733,45.7066207106778,45.126871988843,99.99999176082812,8.239171876311957e-06
CHN,China,2011,2010s,9.03384659679141,45.800209149610104,45.16594425359848,34.7997907041488,29.5001327749191,35.7000783844491,9.0338458593332,45.8002054108107,45.1659405665759,99.9999918367198,8.163280199369183e-06
CHN,China,2012,2010s,8.965056662196298,44.68206945199814,46.352873885805565,33.600592285725,30.2995918411543,36.0998140108212,8.96505673533992,44.6820698165478,46.3528742639869,100.00000081587461,-8.158746140907169e-07
CHN,China,2013,2010s,8.784421508386622,43.39387173040271,47.82170676121067,31.4002857020434,30.099901194464,38.4998131034926,8.78442131602471,43.3938707801605,47.8217057140074,99.99999781019261,2.1898073896409187e-06
CHN,China,2014,2010s,8.482428875051175,42.28271311583491,49.234858009113914,29.5004728042914,29.9004572371177,40.5990776614307,8.48242940933654,42.2827157791092,49.2348611102851,100.00000629873085,-6.2987308524498076e-06
CHN,China,2015,2010s,8.22401396933589,40.04759203996327,51.72839399070084,28.3004717268993,29.2998175326072,42.3997107404935,8.22401359479525,40.0475902161032,51.72839163487,99.99999544576846,4.554231537667874e-06
CHN,China,2016,2010s,7.900650180316463,38.81115611977153,53.288193699912,27.4221249065299,29.6444492814543,42.9334259446319,7.90065017505416,38.811156093921,53.2881936644189,99.99999993339407,6.660593498963863e-08
CHN,China,2017,2010s,7.328392382560334,39.1299442958977,53.54166332154197,26.6835826166189,29.9706060456204,43.3458036346466,7.32839239286042,39.129944350895,53.541663396795,100.00000014055043,-1.4055042640848114e-07
CHN,China,2018,2010s,6.917142401027454,38.97769740603212,54.105160192940424,25.7514953274594,30.3637847933889,43.8847198791517,6.91714289236836,38.9777001747097,54.1051640361573,100.00000710323536,-7.103235361682891e-06
CHN,China,2019,2010s,7.006215126874901,37.76422991507185,55.22955495805325,24.7219896643701,30.7587386897164,44.5192735154599,7.00621575788341,37.7642333162735,55.2295599322538,100.0000090064107,-9.006410707002033e-06
CHN,China,2020,2020s,7.5401819826914105,36.91156239428952,55.54825562301908,23.5998596785258,31.1322866175828,45.2678537038915,7.54018198521241,36.9115624066306,55.5482556415912,100.0000000334342,-3.3434204738114204e-08
CHN,China,2021,2020s,7.08935221187172,38.09247056896381,54.81817721916447,22.8687780404897,31.5342449659426,45.5969845625275,7.08935251618004,38.0924722040717,54.8181795722183,100.00000429247004,-4.2924700380808645e-06
CHN,China,2022,2020s,7.147887355925178,37.89452892905266,54.95758371502215,24.0801085619325,30.9312938882327,44.9886051327682,7.14788692830171,37.8945266620066,54.9575804271762,99.99999401748451,5.982515489222351e-06
CHN,China,2023,2020s,6.889519410800682,36.772503022356105,56.337977566843215,22.8008772042629,31.4267217641686,45.7723935112505,6.88951941080068,36.7725030223561,56.3379775668432,99.99999999999997,2.842170943040401e-14
CHN,China,2024,2020s,6.7975746886595605,36.371020679178855,56.83140463216157,22.216498294765,31.6324437528704,46.1510599840955,6.7975741844132,36.3710179811644,56.831400416389,99.99999258196661,7.418033391104473e-06
CHN,China,2025,2020s,6.658691181001276,35.6416612530995,57.69964756589923,21.6768623336956,31.7923235092111,46.5308142926728,6.65869070601804,35.6416587106792,57.6996434500205,99.99999286671775,7.133282252880235e-06
IND,India,1960,1960s,41.18202542628151,20.555175327988685,38.2627992457298,,,,41.7413351234112,20.8343434545716,38.7824617546992,101.358140332682,-1.358140332681998
IND,India,1961,1960s,40.74484660945817,21.25350874665939,38.001644643882436,,,,41.0924821982676,21.4348439741111,38.3258751959846,100.8532013683633,-0.8532013683633011
IND,India,1962,1960s,38.65834978079276,21.822500655069284,39.51914956413796,,,,39.0659687962891,22.0526001363748,39.9358449722433,101.0544139049072,-1.054413904907193
IND,India,1963,1960s,39.90515887864207,21.923320762511736,38.17152035884621,,,,39.825351677532,21.8794758332279,38.0951802993762,99.8000078101361,0.19999218986390588
IND,India,1964,1960s,41.913817256521604,21.244247118422464,36.841935625055925,,,,41.3437167110651,20.9552885443107,36.340821458647,98.6398267140228,1.360173285977197
IND,India,1965,1960s,39.988304507132234,21.986989774690073,38.02470571817769,,,,39.3846972550148,21.6551050738054,37.4507381940725,98.4905405228927,1.509459477107299
IND,India,1966,1960s,41.092104218837505,21.77906169274509,37.12883408841741,,,,40.3516512369392,21.3866171713485,36.4597966556112,98.1980650638989,1.8019349361011052
IND,India,1967,1960s,43.8699988992774,20.615010953952343,35.51499014677026,,,,42.7515580248472,20.089442878816,34.6095555073409,97.4505564110041,2.5494435889958993
IND,India,1968,1960s,43.04715216103571,21.09818013216801,35.854667706796285,,,,42.0860273767475,20.6271156642435,35.054131363846,97.767274404837,2.2327255951630036
IND,India,1969,1960s,42.73524491136042,22.009934667638227,35.25482042100137,,,,41.5849235838776,21.4174846344817,34.3058526097493,97.30826082810859,2.691739171891413
IND,India,1970,1970s,41.507530058786884,22.386165591721742,36.106304349491374,,,,40.2896134622547,21.7293092919549,35.0468708624974,97.065793616707,2.9342063832930023
