country_code,country_name,year,gcf_const_2015_usd,gcf_curr_usd,gcf_pct_gdp,gdp_const_2015_usd,gdp_curr_usd,gdp_growth_annual_pct,gdp_pc_const_2015_usd,gdp_pc_curr_usd,gdp_pc_growth_annual_pct,gfcf_const_2015_usd,gfcf_curr_usd,gfcf_pct_gdp,population_total
CHN,China,1960,,23638465762.3723,39.4986681327632,161019131971.415,59846235024.7318,,241.382661446948,89.7150749167731,,,19495171136.3473,32.5754345754429,667070000.0
CHN,China,1961,,11415559017.7792,22.7572483035064,117109214676.55,50162299349.7871,-27.2700000038883,177.349529290733,75.9655011127574,-26.5276436063691,,9506393846.96376,18.9512721111021,660330000.0
CHN,China,1962,,7429461014.2379,15.7035408173779,110574520509.079,47310737754.2287,-5.57999999019671,166.085165310961,71.0616845971262,-6.35150486433241,,7307599407.59011,15.4459637589079,665770000.0
CHN,China,1963,,11034704004.2505,21.7166309297306,121963696117.532,50812227918.5753,10.2999999963989,178.744599232828,74.4681540864463,7.62225446093558,,9003677226.78729,17.7195088576225,682335000.0
CHN,China,1964,,14537402056.7802,24.3011524546751,144136696064.162,59821862703.4023,18.1799999938203,206.39459309973,85.6611074645449,15.468995418925,,12100169923.8243,20.2270029333877,698355000.0
CHN,China,1965,,19089166799.6989,27.0515096880037,168567866052.615,70565994356.1828,16.9500000038699,235.698268353804,98.6681688740435,14.197889011518,,14539666818.1813,20.6043533444624,715185000.0
CHN,China,1966,,23364655783.6128,30.4013318657505,186520343784.551,76854053259.209,10.6499999984174,253.631144662158,104.50646350178,7.608403928295,,16743508489.0826,21.7861098784355,735400000.0
CHN,China,1967,,17391384871.8564,23.8201111605653,175758119940.626,73011350596.2485,-5.77000000405148,232.931044915017,96.7614480104016,-8.16149758528853,,13248090245.8314,18.1452474685657,754550000.0
CHN,China,1968,,17665789279.347,24.888290626073,168552037046.827,70980323818.7853,-4.09999998647768,217.624094003727,91.6454581848979,-6.57145161430678,,12303878586.8441,17.3342102781275,774510000.0
CHN,China,1969,,19933364229.3127,24.9642038256092,197104752115.92,79847786729.1898,16.9399999960609,247.611258585999,100.308139479526,13.7793403435182,,16724341920.9208,20.9452792694714,796025000.0
CHN,China,1970,,30438001510.2715,32.8162153192607,235145969267.792,92752930873.1912,19.2999999967022,287.353854283243,113.346243039894,16.0503992929066,,22354514935.9678,24.1011413068232,818315000.0
CHN,China,1971,,33570752158.2706,33.5845171488947,251747274694.657,99959013879.6308,7.05999999853672,299.305407404138,118.84249157909,4.15917620130968,,24796716479.6294,24.8068838589077,841105000.0
CHN,China,1972,,35525993382.8226,31.1982006102093,261338845861.077,113871930713.841,3.81000000021984,303.166764336598,132.097410431007,1.29010597100438,,27998375041.0901,24.5876001799335,862030000.0
CHN,China,1973,,45658319637.5218,32.9034962037238,281618740302.101,138764340892.0,7.76000000084325,319.317346193733,157.339888078555,5.32729301395436,,33644743794.1587,24.245957987394,881940000.0
